Capabilities,SubCapability,TEBStatus,NameofTools,Version,StandardsComments,EANotes,Manufacturer,StandardCategory,EAReferenceID,Description,MetaTags,MetaTagsDescription,CapabilityManager
Monitoring,Object Storage,Deprecated,Vertex AI,2.9.1,Provisional until further risk assessment is complete.,Pilot completed with positive feedback from stakeholders.,Redis Labs,Internal Only,EA8669125,"Vertex AI is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Automation, Compliance, Serverless",Automation: scope or capability related to automation. Compliance: scope or capability related to compliance. Serverless: scope or capability related to serverless.,Drew Kim
Content Services,Backup & DR,Under Review,Snowflake Core,2.6.8,Approved as a standard for enterprise use.,Provisional until further risk assessment is complete.,MongoDB,Product Standard,EA4225358,"Snowflake Core is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Customer Experience, Semantic Ranker, Data Engineering, Disaster Recovery, Networking",Customer Experience: scope or capability related to customer experience. Semantic Ranker: scope or capability related to semantic ranker. Data Engineering: scope or capability related to data engineering. Disaster Recovery: scope or capability related to disaster recovery. Networking: scope or capability related to networking.,Casey Kim
Identity & Access Mgmt,Data Lake,Under Review,S3,1.8.2,Document architecture in the catalog and link runbooks.,Document architecture in the catalog and link runbooks.,IBM,Product Standard,EA9959001,"S3 is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Disaster Recovery, Cache, Cloud Communications",Disaster Recovery: scope or capability related to disaster recovery. Cache: scope or capability related to cache. Cloud Communications: scope or capability related to cloud communications.,Casey Thomas
Security,Edge CDN,Deprecated,Glue,1.7.8,Pilot completed with positive feedback from stakeholders.,Pilot completed with positive feedback from stakeholders.,OpenAI,Product Standard,EA6471027,"Glue is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","DevOps, Automation, Data Engineering, RAG, Backup, UC Platform",DevOps: scope or capability related to devops. Automation: scope or capability related to automation. Data Engineering: scope or capability related to data engineering. RAG: scope or capability related to rag. Backup: scope or capability related to backup. UC Platform: scope or capability related to uc platform.,Drew Harris
AI/ML,Data Warehouse,Provisional Standard,GuardDuty,2.5.8,Vendor support SLA reviewed by procurement.,Provisional until further risk assessment is complete.,HashiCorp,Product Standard,EA7147321,"GuardDuty is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","BM25, Cost Management, Backup",BM25: scope or capability related to bm25. Cost Management: scope or capability related to cost management. Backup: scope or capability related to backup.,Riley Garcia
Content Services,Endpoint Security,Provisional Standard,Redis Enterprise,3.3.2,Hybrid retrieval and strict filtering supported.,Vendor support SLA reviewed by procurement.,VMware,Internal Only,EA4701687,"Redis Enterprise is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Data Engineering, Cloud Communications, LLM Orchestration, Contact Center",Data Engineering: scope or capability related to data engineering. Cloud Communications: scope or capability related to cloud communications. LLM Orchestration: scope or capability related to llm orchestration. Contact Center: scope or capability related to contact center.,Alex Williams
Analytics,SaaS Integration,Deprecated,Key Vault,1.1.6,Deprecated for new deployments; maintain only.,Pilot completed with positive feedback from stakeholders.,Confluent,Internal Only,EA5060983,"Key Vault is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Networking, BM25, Customer Experience, Cost Management, Serverless",Networking: scope or capability related to networking. BM25: scope or capability related to bm25. Customer Experience: scope or capability related to customer experience. Cost Management: scope or capability related to cost management. Serverless: scope or capability related to serverless.,Morgan White
DevOps,MLOps,Under Review,EKS,1.2.1,Enable logging and tag resources for cost allocation.,Requires private endpoint and managed identity configuration.,HashiCorp,Legacy,EA5239868,"EKS is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Contact Center, UC Platform, PII",Contact Center: scope or capability related to contact center. UC Platform: scope or capability related to uc platform. PII: scope or capability related to pii.,Drew White
Analytics,Patch Mgmt,Deprecated,Kong Gateway,2.5.9,Requires private endpoint and managed identity configuration.,Deprecated for new deployments; maintain only.,Redis Labs,Legacy,EA4958887,"Kong Gateway is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","DevOps, CI/CD, AI Experience Platform, LLM Orchestration, RAG",DevOps: scope or capability related to devops. CI/CD: scope or capability related to ci/cd. AI Experience Platform: scope or capability related to ai experience platform. LLM Orchestration: scope or capability related to llm orchestration. RAG: scope or capability related to rag.,Avery Patel
Databases,Edge CDN,Provisional Standard,Sagemaker,1.9.7,Pilot completed with positive feedback from stakeholders.,Document architecture in the catalog and link runbooks.,Adobe,Product Standard,EA0972896,"Sagemaker is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","CI/CD, Compliance, Vector Search, Contact Center",CI/CD: scope or capability related to ci/cd. Compliance: scope or capability related to compliance. Vector Search: scope or capability related to vector search. Contact Center: scope or capability related to contact center.,Cameron Jackson
Finance Tools,API Gateway,TEB Approved,Prometheus,3.6.2,Enable logging and tag resources for cost allocation.,Meets security baselines and compliance requirements.,Elastic,Legacy,EA9702838,"Prometheus is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Compliance, DevOps, Serverless, Cost Management, RAG",Compliance: scope or capability related to compliance. DevOps: scope or capability related to devops. Serverless: scope or capability related to serverless. Cost Management: scope or capability related to cost management. RAG: scope or capability related to rag.,Taylor Wilson
DevOps,Data Warehouse,Under Review,Front Door,3.9.7,Meets security baselines and compliance requirements.,Meets security baselines and compliance requirements.,Databricks,Legacy,EA4344375,"Front Door is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","LLM Orchestration, Networking, Edge, Semantic Ranker, BM25, Agent Assist",LLM Orchestration: scope or capability related to llm orchestration. Networking: scope or capability related to networking. Edge: scope or capability related to edge. Semantic Ranker: scope or capability related to semantic ranker. BM25: scope or capability related to bm25. Agent Assist: scope or capability related to agent assist.,Cameron Thomas
DevOps,ETL/ELT,Deprecated,Bedrock,3.2.4,Approved as a standard for enterprise use.,Pilot completed with positive feedback from stakeholders.,Google,Reference Standard,EA7473384,"Bedrock is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","UC Platform, Agent Assist, Backup, Edge, Cloud Communications",UC Platform: scope or capability related to uc platform. Agent Assist: scope or capability related to agent assist. Backup: scope or capability related to backup. Edge: scope or capability related to edge. Cloud Communications: scope or capability related to cloud communications.,Sam Garcia
Collaboration,Patch Mgmt,TEB Not Approved,Dataflow,2.0.1,Enable logging and tag resources for cost allocation.,Requires private endpoint and managed identity configuration.,OpenAI,Provisional Standard,EA2082677,"Dataflow is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Cache, BM25, RAG, Disaster Recovery",Cache: scope or capability related to cache. BM25: scope or capability related to bm25. RAG: scope or capability related to rag. Disaster Recovery: scope or capability related to disaster recovery.,Alex Lewis
Messaging,Routing,Under Review,Cosmos DB,1.2.6,Deprecated for new deployments; maintain only.,Approved as a standard for enterprise use.,Redis Labs,Internal Only,EA2400499,"Cosmos DB is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","RAG, BM25, Automation",RAG: scope or capability related to rag. BM25: scope or capability related to bm25. Automation: scope or capability related to automation.,Avery Martinez
DevOps,Secrets Mgmt,TEB Not Approved,Qdrant,4.4.3,Provisional until further risk assessment is complete.,Requires private endpoint and managed identity configuration.,Atlassian,Internal Only,EA4205493,"Qdrant is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Backup, Disaster Recovery, Cost Management, CI/CD",Backup: scope or capability related to backup. Disaster Recovery: scope or capability related to disaster recovery. Cost Management: scope or capability related to cost management. CI/CD: scope or capability related to ci/cd.,Riley Martinez
Storage,Routing,Deprecated,AKS,1.2.2,Hybrid retrieval and strict filtering supported.,Requires private endpoint and managed identity configuration.,Cisco,Provisional Standard,EA4637454,"AKS is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Semantic Ranker, Disaster Recovery, LLM Orchestration",Semantic Ranker: scope or capability related to semantic ranker. Disaster Recovery: scope or capability related to disaster recovery. LLM Orchestration: scope or capability related to llm orchestration.,Shawn Garcia
Collaboration,Observability,Deprecated,Secrets Manager,2.6.8,Pilot completed with positive feedback from stakeholders.,Provisional until further risk assessment is complete.,Snowflake,Reference Standard,EA9332727,"Secrets Manager is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Observability, PII, Networking, DevOps, Cache",Observability: scope or capability related to observability. PII: scope or capability related to pii. Networking: scope or capability related to networking. DevOps: scope or capability related to devops. Cache: scope or capability related to cache.,Jamie White
Identity & Access Mgmt,API Gateway,TEB Not Approved,EKS,1.8.7,Vendor support SLA reviewed by procurement.,Requires private endpoint and managed identity configuration.,Google,Legacy,EA1088398,"EKS is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Analytics, RAG, Serverless, Automation",Analytics: scope or capability related to analytics. RAG: scope or capability related to rag. Serverless: scope or capability related to serverless. Automation: scope or capability related to automation.,Jordan Thomas
Security,Edge CDN,Deprecated,Kafka,4.0.7,Deprecated for new deployments; maintain only.,Vendor support SLA reviewed by procurement.,Elastic,Internal Only,EA9087406,"Kafka is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","CI/CD, AI Experience Platform, Edge, Data Engineering, Cloud Communications",CI/CD: scope or capability related to ci/cd. AI Experience Platform: scope or capability related to ai experience platform. Edge: scope or capability related to edge. Data Engineering: scope or capability related to data engineering. Cloud Communications: scope or capability related to cloud communications.,Jordan Nguyen
